,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.001,"(0.9, 0.99)","(64, 16)",5,50,0.45,2.5394688312530516,2.5567808226933555,0.01731199144030393,0.3437017369268153,0.3213048372813023,0.33179375,0.3121875,0.30742838983408427,0.28727148745124986,7.376197179158528
1,0.001,"(0.9, 0.99)","(64, 16)",5,50,0.5,2.5556849414825438,2.566204237559485,0.010519296076941131,0.3359761155621947,0.3279650812446889,0.31560625,0.3046875,0.29215369526416657,0.2801240347305243,7.249806442260742
2,0.001,"(0.9, 0.99)","(64, 16)",5,50,0.55,2.574559216308594,2.5823390748765735,0.007779858567979581,0.3531617728538066,0.3454265814844126,0.294225,0.2855625,0.26904702403869296,0.2595072736994338,7.264574224154154
3,0.001,"(0.9, 0.99)","(64, 16)",5,100,0.45,2.5391779453277588,2.5573060890984913,0.018128143770732574,0.3643778849971015,0.36021141813332225,0.3321375,0.31062500000000004,0.30998922246575616,0.28974633583538134,7.3174741125106815
4,0.001,"(0.9, 0.99)","(64, 16)",5,100,0.5,2.5615556240081787,2.572125007235815,0.01056938322763612,0.3447593638521296,0.3378124308764947,0.30898125000000004,0.297125,0.2797904044230947,0.26682813733851246,7.523047420183818
5,0.001,"(0.9, 0.99)","(64, 16)",5,100,0.55,2.575139888381958,2.586881119107443,0.011741230725485163,0.35045773350728715,0.3438422603874191,0.29483125,0.28237500000000004,0.2703003529632267,0.2561577308314219,7.902232282956441
6,0.001,"(0.9, 0.99)","(80, 16)",5,50,0.45,2.540532343292236,2.5554241415054078,0.014891798213171548,0.3576193099318709,0.3465872693731721,0.33023749999999996,0.31375,0.30900900366205464,0.2918070824687545,6.753032563527425
7,0.001,"(0.9, 0.99)","(80, 16)",5,50,0.5,2.5635366580963135,2.572811232672797,0.00927457457648373,0.36440200421642044,0.35749917428203304,0.30666875,0.296625,0.2901727056485638,0.2796840567833633,6.859082638422648
8,0.001,"(0.9, 0.99)","(80, 16)",5,50,0.55,2.5599101486206055,2.5700077556428456,0.010097607022240052,0.33199199556881454,0.3348767840314582,0.30938125,0.30025,0.28035670630822257,0.2716798614563269,6.626762906710307
9,0.001,"(0.9, 0.99)","(80, 16)",5,100,0.45,2.554255842590332,2.5675539516267323,0.013298109036400163,0.3775339367123435,0.3632356239272082,0.3156375,0.3005,0.2890447660330151,0.2700499903986503,6.579721446037293
10,0.001,"(0.9, 0.99)","(80, 16)",5,100,0.5,2.5637744857788087,2.571804103397188,0.00802961761837917,0.3791702982244506,0.37763416356823054,0.30561875,0.2978125,0.27380267445743917,0.2657972649835796,6.586782795588175
11,0.001,"(0.9, 0.99)","(80, 16)",5,100,0.55,2.5439937004089357,2.553904817217872,0.009911116808936526,0.3574793683762443,0.3450733155225578,0.3285125,0.3153125,0.3033207172215715,0.288018114591296,6.641625339190165
12,0.001,"(0.9, 0.99)","(80, 32)",5,50,0.45,2.51266682510376,2.535237236628457,0.022570411524696965,0.36947751309103155,0.3522322697094248,0.35865624999999995,0.336125,0.335166959148016,0.31275747570681967,6.695594172477723
13,0.001,"(0.9, 0.99)","(80, 32)",5,50,0.5,2.545026071548462,2.5592832149021207,0.014257143353658908,0.3704008559812079,0.352434207766243,0.32569375,0.31075,0.2963836057924396,0.27831999365273263,6.7912059624989825
14,0.001,"(0.9, 0.99)","(80, 32)",5,50,0.55,2.553285173034668,2.5659340184832375,0.012648845448569368,0.3450386118230865,0.3306340762238721,0.31750625,0.30418749999999994,0.2949097876761012,0.2800055457931163,6.626065524419149
15,0.001,"(0.9, 0.99)","(80, 32)",5,100,0.45,2.523952724838257,2.5478128781394354,0.02386015330117841,0.3953709946306222,0.37747255966957416,0.34708125,0.32325000000000004,0.3337987289088531,0.3094689099622789,6.618956580162048
16,0.001,"(0.9, 0.99)","(80, 32)",5,100,0.5,2.5228218772888185,2.5385382856641496,0.01571640837533117,0.35984422817843137,0.35357689259868663,0.34829374999999996,0.33175,0.32932164674047887,0.3130904905723737,6.634847291310629
17,0.001,"(0.9, 0.99)","(80, 32)",5,100,0.55,2.5681115299224855,2.575504779815674,0.007393249893188347,0.3755048592952403,0.36398510267248496,0.30081874999999997,0.2943125,0.2737408526767187,0.2644720383595797,6.627877413431803
18,0.001,"(0.9, 0.99)","(96, 16)",5,50,0.45,2.5210589530944825,2.539369893452478,0.01831094035799552,0.3673779339947275,0.35128193321785267,0.35025625000000005,0.32937500000000003,0.33092926142305124,0.30983050827214825,6.696984314918518
19,0.001,"(0.9, 0.99)","(96, 16)",5,50,0.5,2.5459423664093017,2.557498856196328,0.01155648978702617,0.36409439087547013,0.33921548375414023,0.32430625,0.312125,0.2878605025608386,0.27480145871569495,6.671556601524353
20,0.001,"(0.9, 0.99)","(96, 16)",5,50,0.55,2.5599895584106447,2.5680293431357732,0.008039784725128563,0.36463737942304014,0.37108222542432306,0.31027499999999997,0.30362500000000003,0.2894669832305303,0.28181753273487753,6.713756130536397
21,0.001,"(0.9, 0.99)","(96, 16)",5,100,0.45,2.5012303691864015,2.5230937382531544,0.021863369066752902,0.38295391094931885,0.3514246258131205,0.371125,0.34762499999999996,0.35023987522736194,0.325538415435023,6.805809122721354
22,0.001,"(0.9, 0.99)","(96, 16)",5,100,0.5,2.519256335067749,2.5380947589874268,0.018838423919677716,0.37311819915971456,0.35861167168419505,0.3532125,0.3339375,0.3280781201590004,0.30847536516787966,6.746062814394633
23,0.001,"(0.9, 0.99)","(96, 16)",5,100,0.55,2.5391791904449463,2.549697682971046,0.01051849252609971,0.3750740391919821,0.3858227545512187,0.331225,0.32118749999999996,0.3124014616084898,0.3028962424825077,6.807230412165324
