,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.001,"(0.9, 0.99)","(80, 32)",5,100,0.5,2.5093313438415525,2.5344617253258113,0.025130381484258724,0.37248880534745976,0.35818228069969493,0.36273125000000006,0.33668750000000003,0.34183530227918146,0.31569195721931764,6.782849294344584
1,0.001,"(0.9, 0.99)","(80, 32)",5,100,0.55,2.5265793746948244,2.5445426570044622,0.01796328230963784,0.36437218316928716,0.3543613058914836,0.34495,0.325125,0.3184050624429079,0.29696892317155776,6.776504675547282
2,0.001,"(0.9, 0.99)","(96, 16)",5,100,0.5,2.51286989440918,2.5305499122256325,0.017680017816452676,0.3750616252889776,0.36843013053904305,0.35851875,0.3401875,0.33400183776500464,0.31613351280939456,6.809295577208201
3,0.001,"(0.9, 0.99)","(96, 16)",5,100,0.55,2.511958439254761,2.5289531056843106,0.01699466642954972,0.3596505208158657,0.34271952792998117,0.36088125,0.3413125,0.3428887651403691,0.32298059707889487,6.648183093070984
