,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.0018,"(0.9, 0.99)","(64, 16)",5,100,0.1,2.518563247680664,2.5558631874266124,0.037299939745948585,0.36187874248505847,0.32287653788027215,0.35301875000000005,0.314125,0.34271384786092773,0.3038106417526586,7.246063137054444
1,0.0005,"(0.9, 0.99)","(64, 16)",5,100,0.1,2.5103616191864013,2.5508058373890226,0.04044421820262123,0.363943639958159,0.3286288490797611,0.36253124999999997,0.32156250000000003,0.34745874241514174,0.307392839583123,7.20062426328659
2,0.005,"(0.9, 0.99)","(64, 16)",5,100,0.1,2.533515970993042,2.5637142544700984,0.030198283477056442,0.33233661143936327,0.30413365240813145,0.33799375,0.30737499999999995,0.321289779947437,0.29225194149401823,7.184630274772644
3,0.0018,"(0.9, 0.99)","(64, 16)",5,100,0.15,2.5434376628875732,2.5705263349745007,0.027088672086927446,0.3412555463724103,0.3129320108059591,0.32771875,0.2993125,0.3179164854878551,0.2882087699073806,7.159333145618438
4,0.0005,"(0.9, 0.99)","(64, 16)",5,100,0.15,2.5284208675384523,2.564273985605391,0.035853118066938805,0.36166555747004536,0.33287643809578354,0.3446125,0.30381250000000004,0.33541831143641226,0.29695823341104444,7.226344120502472
5,0.005,"(0.9, 0.99)","(64, 16)",5,100,0.15,2.5560933395385743,2.576721263310266,0.02062792377169176,0.3368237528812534,0.31697583429072906,0.31430625,0.29325,0.30126927383686714,0.2786896490682029,7.17411630153656
6,0.0018,"(0.9, 0.99)","(64, 16)",5,100,0.2,2.5299839279174803,2.556800539531405,0.026816611613924568,0.34498945902373357,0.3205523606412898,0.34146875,0.3118125,0.3204413225877312,0.2906778634348749,7.218104720115662
7,0.0005,"(0.9, 0.99)","(64, 16)",5,100,0.2,2.5371028095245363,2.5640265828087214,0.02692377328418516,0.34297708280804856,0.3172544446008775,0.3358,0.305125,0.3251981280111761,0.29454511381142645,7.2609110355377195
8,0.005,"(0.9, 0.99)","(64, 16)",5,100,0.2,2.5552173156738283,2.5774646789308577,0.022247363257029473,0.33439431216799387,0.3059258087372767,0.31561249999999996,0.2925,0.2965470011960345,0.2746584111331815,7.354138338565827
9,0.0018,"(0.9, 0.99)","(64, 16)",5,100,0.25,2.5523631660461428,2.5717181175474138,0.01935495150127098,0.3309786886851671,0.31632162450142326,0.31850625,0.2966875,0.30646018845796236,0.2854779109975032,7.4941640257835385
10,0.0005,"(0.9, 0.99)","(64, 16)",5,100,0.25,2.5379657402038576,2.5597305524916876,0.021764812287830004,0.3370464556460433,0.3232254898741523,0.3345125,0.31356249999999997,0.3202725547800902,0.299796460417152,7.488735008239746
11,0.005,"(0.9, 0.99)","(64, 16)",5,100,0.25,2.589984833908081,2.6081369301629445,0.01815209625486336,0.3521115120988174,0.33542369540895933,0.27998124999999996,0.2614375,0.27459136110999105,0.25394701021243177,7.206021070480347
12,0.0018,"(0.9, 0.99)","(64, 16)",5,100,0.3,2.5605961498260497,2.5731980687096003,0.012601918883550667,0.3505399571570989,0.34688063185292106,0.30969375,0.29793749999999997,0.29819005583534175,0.2857079192884255,7.229211926460266
13,0.0005,"(0.9, 0.99)","(64, 16)",5,100,0.3,2.5468379524230955,2.564831374183534,0.017993421760438277,0.3367466551142687,0.3182754180323327,0.32615,0.3070625,0.31252821610385373,0.293738310614825,7.234411418437958
14,0.005,"(0.9, 0.99)","(64, 16)",5,100,0.3,2.5794395458221437,2.592395782470703,0.012956236648559383,0.33096644795727037,0.3352540602268093,0.29033125,0.2770625,0.2741897723261052,0.2601605550568789,7.222926604747772
15,0.0018,"(0.9, 0.99)","(64, 16)",5,100,0.35,2.5729148513793945,2.5837160632723855,0.010801211892990992,0.3417796788508885,0.33395537865392294,0.29746875,0.28475000000000006,0.2848266583755147,0.26965864868823824,7.216626930236816
16,0.0005,"(0.9, 0.99)","(64, 16)",5,100,0.35,2.561180159378052,2.574442749931699,0.01326259055364698,0.350145214489444,0.3395723151878537,0.31154375,0.29725,0.29396567752988834,0.27789410891603905,7.214627850055694
17,0.005,"(0.9, 0.99)","(64, 16)",5,100,0.35,2.613287261581421,2.619155766471984,0.005868504890562676,0.3183743948053428,0.30059977293462636,0.25539999999999996,0.248875,0.23529336598464945,0.22647819441726574,7.214282596111298
18,0.0018,"(0.9, 0.99)","(64, 32)",5,100,0.1,2.5103233448028566,2.555900528317406,0.045577183514549535,0.3719564204648466,0.32310114023347664,0.36167499999999997,0.3145,0.35139723333683015,0.3033093777772098,7.237700819969177
19,0.0005,"(0.9, 0.99)","(64, 32)",5,100,0.1,2.4978199111938477,2.5563721770331975,0.058552265839349804,0.3772477125776223,0.31567598635478655,0.37611875,0.3110625,0.35831704791559144,0.2945352521545281,7.232297277450561
