,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.0018,"(0.9, 0.99)",32,5,25,0.0,2.4730156715393066,2.6004165656982905,0.12740089415898392,0.39992726799033473,0.2507685104136389,0.40203125,0.2699375,0.37643877218297417,0.252765616820514,6.2078575730323795
1,0.0018,"(0.9, 0.99)",32,5,25,0.2,2.5822824783325196,2.6063900372338673,0.024107558901347748,0.3105437218585551,0.29180515931328455,0.2882375,0.263,0.2757452528463511,0.25040339790781563,6.379282009601593
2,0.0018,"(0.9, 0.99)",32,5,25,0.5,2.666126931762695,2.6714092284914046,0.00528229672870939,0.1923053162266746,0.1904403235468775,0.19966875,0.19287500000000002,0.16266802547728323,0.1556311659560593,6.399045443534851
3,0.0018,"(0.9, 0.99)",32,5,50,0.0,2.4870933311462404,2.6117967234717474,0.12470339232550698,0.38958567861965565,0.2563324706698426,0.38751874999999997,0.259,0.37151586684394255,0.24439433712103453,6.346873140335083
4,0.0018,"(0.9, 0.99)",32,5,50,0.2,2.552919989013672,2.5825616783565946,0.02964168934292255,0.3275284921943111,0.30437987973669345,0.31820000000000004,0.2870625,0.30475845885723724,0.2732572001304713,6.492255198955536
5,0.0018,"(0.9, 0.99)",32,5,50,0.5,2.6474561965942383,2.6548171421838185,0.007360945589580226,0.27562227627147834,0.26662647102124726,0.22008125,0.212375,0.20537471406330482,0.19613240625372957,6.37791645526886
6,0.0018,"(0.9, 0.99)",32,5,100,0.0,2.5044835151672364,2.616430150138007,0.11194663497077073,0.3741224248386795,0.25425516466773757,0.36929999999999996,0.253625,0.3518995903911972,0.23753509349342372,6.336962437629699
7,0.0018,"(0.9, 0.99)",32,5,100,0.2,2.5591138996124267,2.5924939163147456,0.03338001670231883,0.3136847197304581,0.2682983243228588,0.31156875,0.27625,0.2942239166594033,0.2590150989151037,6.50877833366394
8,0.0018,"(0.9, 0.99)",32,5,100,0.5,2.6276042907714845,2.6361713258046953,0.008567035033210768,0.27774299674591957,0.270554741704804,0.24131249999999999,0.23112500000000002,0.21968976990026579,0.209741805252149,6.321839356422425
9,0.0018,"(0.9, 0.99)",32,5,150,0.0,2.4984805976867674,2.6147653943016413,0.1162847966148739,0.37558853299121375,0.25084518595985394,0.37499375,0.256375,0.36132892873252664,0.24396240466914326,6.146241950988769
10,0.0018,"(0.9, 0.99)",32,5,150,0.2,2.5662864776611327,2.5894893161834234,0.02320283852229066,0.3486948311861765,0.3221654858194975,0.30439375,0.27931249999999996,0.29698701079811585,0.2697717957593332,6.2469328999519345
11,0.0018,"(0.9, 0.99)",32,5,150,0.5,2.654617250442505,2.659336688026549,0.00471943758404425,0.2682339230929738,0.26179466379602423,0.2127375,0.2073125,0.2006786498436574,0.19490659753647022,6.258208978176117
12,0.0018,"(0.9, 0.99)",32,10,25,0.0,2.485062814712524,2.601538616513449,0.11647580180092465,0.38819686643884244,0.26919757295676133,0.39033125,0.26725,0.37774049539234966,0.2581874936905738,5.988451957702637
13,0.0018,"(0.9, 0.99)",32,10,25,0.2,2.5878879165649415,2.606883234447903,0.018995317882961604,0.2963843315256117,0.2661682509112908,0.28213125,0.26156250000000003,0.2640324477692574,0.24211366141183394,6.113479173183441
14,0.0018,"(0.9, 0.99)",32,10,25,0.5,2.7025701206207273,2.7064831143333796,0.003912993712652302,0.183132269045516,0.18280863333669678,0.16898125000000003,0.164875,0.15532226593601178,0.14996969072712135,6.144709074497223
15,0.0018,"(0.9, 0.99)",32,10,50,0.0,2.4997120094299317,2.607117796701098,0.10740578727116645,0.3682303202805324,0.24842201131432326,0.37458749999999996,0.26406250000000003,0.3529265007763792,0.247403899717764,6.047480785846711
16,0.0018,"(0.9, 0.99)",32,10,50,0.2,2.5831284927368166,2.6050294883667475,0.021900995629930975,0.3226031571872824,0.3064563252307862,0.2867375,0.2648125,0.27330083609781475,0.2490357851701676,6.076563310623169
17,0.0018,"(0.9, 0.99)",32,10,50,0.5,2.699113862991333,2.7033945643712602,0.004280701379927088,0.2305833918390668,0.22077907922971032,0.172375,0.1670625,0.1577656645454472,0.15151911222688996,6.154826200008392
