,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.001,"(0.9, 0.99)",100,25,100,0.3,2.437227586364746,2.4911065782819475,0.05387899191720136,0.44384256299330194,0.38007963926377075,0.4357249999999999,0.380125,0.4259695043394124,0.36933479526052937,6.045838915348053
1,0.001,"(0.9, 0.99)",100,25,100,0.4,2.4728558223724364,2.5069633362785217,0.03410751390608535,0.3995823741390072,0.35604941951465535,0.39931875,0.3649375,0.3811674627529602,0.34717746985518394,5.9941719880104065
2,0.001,"(0.9, 0.99)",100,25,100,0.5,2.492995725250244,2.518408427162776,0.025412701912531865,0.3883520392745343,0.35736002166108705,0.37899999999999995,0.353,0.3611702822760763,0.3341310996166159,6.06033756685257
3,0.001,"(0.9, 0.99)",100,100,100,0.3,2.452891909790039,2.4833543224940224,0.03046241270398342,0.4180839498032017,0.38430738886849997,0.41993125,0.38775,0.4090948425776333,0.3777129215248371,6.070608530521393
4,0.001,"(0.9, 0.99)",100,100,100,0.4,2.4713130420684815,2.491627647763207,0.02031460569472543,0.39465269207646514,0.3745978183069006,0.40090625,0.38075000000000003,0.38775707858571545,0.3675340950572774,6.081498757839203
5,0.001,"(0.9, 0.99)",100,100,100,0.5,2.4979279724121093,2.5127206416357133,0.014792669223604005,0.3673629369246951,0.35717289220871995,0.37418125,0.3585625,0.35445473083761747,0.337902133703521,6.056456639766693
6,0.001,"(0.9, 0.99)",75,25,100,0.3,2.466387520599365,2.5133462368495882,0.04695871625022319,0.4086931727686206,0.3609609524753217,0.4061375,0.35831250000000003,0.39532369947735546,0.34709291998586617,5.575387005805969
7,0.001,"(0.9, 0.99)",75,25,100,0.4,2.480087391281128,2.5140266759055003,0.033939284624372235,0.3976023508131771,0.3556565273219438,0.39193125,0.3570625,0.3770627031681006,0.34159728798922784,5.56559334897995
8,0.001,"(0.9, 0.99)",75,25,100,0.5,2.507971263122559,2.5306971678658137,0.022725904743254866,0.3701319017653764,0.34068123441391107,0.3638125,0.33975,0.34599462070661435,0.3205098900361882,5.470231379985809
9,0.001,"(0.9, 0.99)",75,100,100,0.3,2.476046725845337,2.50482958460611,0.028782858760773244,0.3970211517505916,0.3634194827502636,0.39640625,0.3659375,0.38444692167384675,0.3540010122538687,5.447208284378052
10,0.001,"(0.9, 0.99)",75,100,100,0.4,2.492407633972168,2.5099662372044156,0.01755860323224745,0.37438546396607963,0.3550799674040764,0.38006249999999997,0.36000000000000004,0.3628425314600113,0.34211745594930576,5.548280003547668
11,0.001,"(0.9, 0.99)",75,100,100,0.5,2.516135157775879,2.529551986664061,0.013416828888181964,0.3308719002581175,0.31282041774807195,0.35611875000000004,0.3414375,0.33172347578751565,0.3165021444857353,5.512123698234558
12,0.001,"(0.9, 0.99)",50,25,100,0.3,2.506022346878052,2.5440874516017855,0.0380651047237337,0.37631404224278886,0.334164154599069,0.3663,0.327625,0.3551205214132809,0.31472921575978974,5.965510725975037
13,0.001,"(0.9, 0.99)",50,25,100,0.4,2.5136681022644045,2.54009733502827,0.02642923276386533,0.3806347085760835,0.3453358385001502,0.35801249999999996,0.33006250000000004,0.34242643938715656,0.31393923837682625,6.012393147945404
14,0.001,"(0.9, 0.99)",50,25,100,0.5,2.5455696533203125,2.557098260001531,0.011528606681218356,0.3310121200546164,0.3228145272299052,0.3250875,0.3128125,0.30909974702822207,0.29547809994721713,5.978699590682983
15,0.001,"(0.9, 0.99)",50,100,100,0.3,2.5075938232421877,2.5299677508217946,0.022373927579606878,0.3622579547588815,0.3410993044271349,0.3651375,0.34099999999999997,0.34793180854043304,0.3235208927964132,5.946803375244141
16,0.001,"(0.9, 0.99)",50,100,100,0.4,2.5229527194976806,2.536578545494685,0.013625825997004348,0.3539626842163325,0.34770774384417924,0.34908125,0.3339375,0.3291597506905128,0.31333083845780874,5.9208810677528385
17,0.001,"(0.9, 0.99)",50,100,100,0.5,2.5445020500183104,2.557967817972577,0.013465767954266461,0.3361188329818455,0.32624973665771667,0.32820625,0.31343750000000004,0.3084745237514572,0.29350443195994114,5.887213945388794
18,0.001,"(0.9, 0.99)",32,25,100,0.3,2.535419245529175,2.5678237657698375,0.03240452024066265,0.34677915612588484,0.31286619227748147,0.3365875,0.302125,0.32259779394523586,0.28881686496150144,5.317612264633179
19,0.001,"(0.9, 0.99)",32,25,100,0.4,2.548199861526489,2.5702902286771745,0.022090367150685353,0.3230575187218836,0.2998517391469975,0.3236,0.297375,0.30562558793815964,0.27845726476993254,5.356429378509522
