,lr,betas,filters,pool_size,fully_connected,drop,train_loss,validation_loss,loss_diff,train_precision,validation_precision,train_recall,validation_recall,train_f1_score,validation_f1_score,epoch_time
0,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.35,2.612012519836426,2.617406939703321,0.005394419866894928,0.31460672942319307,0.3090543999346897,0.255625,0.249625,0.24759656507387606,0.2401584284802242,6.419077682495117
1,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.4,2.631289125442505,2.6379311501033724,0.006642024660867385,0.3500147106914233,0.34478965191772815,0.23553125000000003,0.2275625,0.22090378264683652,0.21003717459079102,6.250078263282776
2,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.45,2.6062074661254884,2.611890403051225,0.005682936925736737,0.3250768841717961,0.31655707142565237,0.2653875,0.26,0.24666177330053995,0.2394724815323051,6.301045889854431
3,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.5,2.623556693649292,2.625062352135068,0.0015056584857759958,0.30900357153008184,0.32676013475019544,0.24455625,0.2439375,0.22958770425908764,0.22623162947981967,6.305898764133453
4,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.55,2.6723772686004637,2.6725813699147056,0.00020410131424197786,0.35393341886158014,0.3487852042150418,0.19209374999999998,0.1920625,0.18854251569138097,0.18656015942164522,6.407266302108765
5,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.6,2.6623840003967287,2.6620458724006775,-0.00033812799605126287,0.29962085943843264,0.30145136928889804,0.2043875,0.2048125,0.18777154528916473,0.18725137438416503,6.294027049541473
6,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.65,2.699439105987549,2.6983376003447033,-0.0011015056428456127,0.29358218667660696,0.29661045881247405,0.1634625,0.165375,0.1327649973615359,0.13225702589143862,6.341029260158539
7,0.0018,"(0.9, 0.99)","(32, 8)",5,100,0.7,2.758535583114624,2.760115150421385,0.0015795673067611204,0.21324258952029673,0.18632144795731076,0.10555625,0.10312500000000001,0.06942913713177615,0.06642377234656748,6.212906310558319
8,0.0018,"(0.9, 0.99)","(32, 16)",5,100,0.35,2.556857698059082,2.573015459000118,0.01615776094103616,0.32345413476810175,0.3132044341707516,0.31530625,0.297875,0.29859869797480926,0.28143418233111395,6.2669380974769595
9,0.0018,"(0.9, 0.99)","(32, 16)",5,100,0.4,2.5769465229034423,2.5860341238597084,0.00908760095626615,0.3376153935449445,0.32707586339204575,0.2944125,0.2825,0.28528943367590776,0.2710063556592639,6.259605362415313
